alg,thread_num,iter_type,prefill,query_num,insert,query,delete
wormhole,1,seq,12000,3000,0.000325883,0.000159676,0.000308375
PGM,1,seq,13000,3000,0.538423,0.000394068,0.577459
wormhole,1,seq,13000,3000,0.00031069,0.000153372,0.000325552
PGM,1,seq,14000,3000,0.538337,0.000465132,0.544873
wormhole,1,seq,14000,3000,0.000313596,0.000164073,0.000312696
PGM,1,seq,15000,3000,0.559876,0.000518648,0.608467
wormhole,1,seq,15000,3000,0.000312463,0.000160929,0.000311742
PGM,1,seq,16000,3000,0.54119,0.000457832,0.558716
wormhole,1,seq,16000,3000,0.000319012,0.000148235,0.000315851
PGM,1,seq,17000,3000,0.564619,0.000446923,0.564578
wormhole,1,seq,17000,3000,0.000314058,0.000154079,0.000326996
PGM,1,seq,18000,3000,0.579223,0.000437285,0.630493
wormhole,1,seq,18000,3000,0.000311255,0.000157599,0.000312391
PGM,1,seq,19000,3000,0.592627,0.000438278,0.629663
wormhole,1,seq,19000,3000,0.000318953,0.000150978,0.000318029
PGM,1,rand,1000,3000,0.099645,0.000499449,0.227854
wormhole,1,rand,1000,3000,0.000447229,0.00069563,0.000182359
PGM,1,rand,2000,3000,0.0905221,0.000625843,0.211994
wormhole,1,rand,2000,3000,0.000485495,0.00067525,0.000182122
PGM,1,rand,3000,3000,0.102374,0.000633472,0.239857
wormhole,1,rand,3000,3000,0.000461031,0.000634635,0.000178124
PGM,1,rand,4000,3000,0.0985421,0.000584984,0.226538
wormhole,1,rand,4000,3000,0.000469185,0.000647709,0.000178525
PGM,1,rand,5000,3000,0.0790951,0.000562141,0.206202
wormhole,1,rand,5000,3000,0.000420239,0.000640525,0.000177706
PGM,1,rand,6000,3000,0.0898716,0.000547356,0.241533
wormhole,1,rand,6000,3000,0.000465104,0.000658968,0.000173384
PGM,1,rand,7000,3000,0.091305,0.000501275,0.248175
wormhole,1,rand,7000,3000,0.000354337,0.00058624,0.000176396
PGM,1,rand,8000,3000,0.0926534,0.000539327,0.228567
wormhole,1,rand,8000,3000,0.000379841,0.000588921,0.000167709
PGM,1,rand,9000,3000,0.096122,0.000517514,0.235514
wormhole,1,rand,9000,3000,0.000391192,0.000586668,0.00017419
PGM,1,rand,10000,3000,0.0815338,0.0004929,0.212425
wormhole,1,rand,10000,3000,0.000333252,0.000592705,0.000181305
PGM,1,rand,11000,3000,0.0884121,0.000555515,0.231315
wormhole,1,rand,11000,3000,0.000313494,0.000604847,0.000175845
PGM,1,rand,12000,3000,0.0874733,0.000515541,0.220439
wormhole,1,rand,12000,3000,0.000328258,0.000603457,0.000176591
PGM,1,rand,13000,3000,0.0977232,0.00065825,0.255926
wormhole,1,rand,13000,3000,0.000368768,0.000589746,0.000176431
PGM,1,rand,14000,3000,0.0956327,0.000628787,0.266623
